"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue","observed.variant.required","observed.variant.requirement.met"
"ribosome biogenesis","MMEA9_C1",1,0,3.7e-24,1,0.4397,11,FALSE
"rRNA metabolic process","MMEA9_C1",1,0,3.7e-24,1,0.4035,11,FALSE
"proteasome-mediated ubiquitin-dependent protein catabolic process","MMEA9_C1",1,1,3.7e-24,0,1,747,FALSE
"regulation of response to DNA damage stimulus","MMEA9_C1",0,1,3.7e-24,-1,0.4972,11,FALSE
"establishment of protein localization to organelle","MMEA9_C1",2,1,3.7e-24,0.584962500721156,0.6295,22,FALSE
"macroautophagy","MMEA9_C1",1,1,3.7e-24,0,1,747,FALSE
"regulation of chromosome organization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"Golgi vesicle transport","MMEA9_C1",0,1,3.7e-24,-1,0.5233,11,FALSE
"double-strand break repair","MMEA9_C1",0,1,3.7e-24,-1,0.5338,11,FALSE
"histone modification","MMEA9_C1",0,1,3.7e-24,-1,0.4171,11,FALSE
"sister chromatid segregation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"DNA replication","MMEA9_C1",0,1,3.7e-24,-1,0.5186,11,FALSE
"chromosome segregation","MMEA9_C1",0,1,3.7e-24,-1,0.4494,11,FALSE
"mitochondrial gene expression","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"nucleocytoplasmic transport","MMEA9_C1",1,1,3.7e-24,0,1,747,FALSE
"nuclear transport","MMEA9_C1",1,1,3.7e-24,0,1,747,FALSE
"regulation of DNA repair","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"peptidyl-lysine modification","MMEA9_C1",0,1,3.7e-24,-1,0.4582,11,FALSE
"protein targeting","MMEA9_C1",1,1,3.7e-24,0,1,747,FALSE
"cytoplasmic translation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of autophagy","MMEA9_C1",0,1,3.7e-24,-1,0.4779,11,FALSE
"signal transduction in response to DNA damage","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of intracellular transport","MMEA9_C1",0,1,3.7e-24,-1,0.4697,11,FALSE
"protein localization to nucleus","MMEA9_C1",1,1,3.7e-24,0,1,747,FALSE
"microtubule cytoskeleton organization involved in mitosis","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"telomere maintenance","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"cell cycle checkpoint signaling","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of protein modification by small protein conjugation or removal","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular respiration","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular component disassembly","MMEA9_C1",1,1,3.7e-24,0,1,747,FALSE
"nuclear chromosome segregation","MMEA9_C1",0,1,3.7e-24,-1,0.5065,11,FALSE
"regulation of protein stability","MMEA9_C1",1,1,3.7e-24,0,1,747,FALSE
"regulation of cell cycle phase transition","MMEA9_C1",0,1,3.7e-24,-1,0.4363,11,FALSE
"regulation of protein catabolic process","MMEA9_C1",0,1,3.7e-24,-1,0.4719,11,FALSE
"response to endoplasmic reticulum stress","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"vesicle organization","MMEA9_C1",0,1,3.7e-24,-1,0.4849,11,FALSE
"mitochondrial respiratory chain complex assembly","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"DNA-templated transcription elongation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"mitochondrial transport","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"establishment of organelle localization","MMEA9_C1",0,1,3.7e-24,-1,0.4401,11,FALSE
"regulation of intracellular protein transport","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"response to UV","MMEA9_C1",1,0,3.7e-24,1,0.3323,11,FALSE
"RNA localization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"response to topologically incorrect protein","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"organelle fission","MMEA9_C1",0,1,3.7e-24,-1,0.434,11,FALSE
"non-membrane-bounded organelle assembly","MMEA9_C1",0,1,3.7e-24,-1,0.4508,11,FALSE
"protein polyubiquitination","MMEA9_C1",1,0,3.7e-24,1,0.4082,11,FALSE
"methylation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"phospholipid biosynthetic process","MMEA9_C1",1,0,3.7e-24,1,0.4534,11,FALSE
"oxidative phosphorylation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"establishment of protein localization to membrane","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"in utero embryonic development","MMEA9_C1",1,1,3.7e-24,0,1,747,FALSE
"vacuole organization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"nuclear-transcribed mRNA catabolic process","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"protein folding","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"DNA conformation change","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of chromosome segregation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of apoptotic signaling pathway","MMEA9_C1",1,1,3.7e-24,0,1,747,FALSE
"cell cycle G2/M phase transition","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"vacuolar transport","MMEA9_C1",1,0,3.7e-24,1,0.3516,11,FALSE
"response to ionizing radiation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular response to UV","MMEA9_C1",1,0,3.7e-24,1,0.2303,11,FALSE
"regulation of binding","MMEA9_C1",1,1,3.7e-24,0,1,747,FALSE
"nucleic acid transport","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"RNA transport","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"ribonucleoprotein complex subunit organization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of DNA replication","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"ribose phosphate metabolic process","MMEA9_C1",0,1,3.7e-24,-1,0.4656,11,FALSE
"proton motive force-driven ATP synthesis","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"ribonucleotide metabolic process","MMEA9_C1",0,1,3.7e-24,-1,0.4678,11,FALSE
"telomere organization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular response to topologically incorrect protein","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"Golgi organization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"ribonucleoprotein complex assembly","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular nitrogen compound catabolic process","MMEA9_C1",0,1,3.7e-24,-1,0.4504,11,FALSE
"negative regulation of phosphorus metabolic process","MMEA9_C1",0,1,3.7e-24,-1,0.4192,11,FALSE
"heterocycle catabolic process","MMEA9_C1",0,1,3.7e-24,-1,0.4508,11,FALSE
"mitochondrial membrane organization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of protein-containing complex assembly","MMEA9_C1",0,1,3.7e-24,-1,0.425,11,FALSE
"positive regulation of cellular component biogenesis","MMEA9_C1",0,1,3.7e-24,-1,0.4085,11,FALSE
"response to oxidative stress","MMEA9_C1",1,1,3.7e-24,0,1,747,FALSE
"regulation of supramolecular fiber organization","MMEA9_C1",0,1,3.7e-24,-1,0.4315,11,FALSE
"positive regulation of protein localization","MMEA9_C1",0,1,3.7e-24,-1,0.4246,11,FALSE
"positive regulation of cell projection organization","MMEA9_C1",0,1,3.7e-24,-1,0.4393,11,FALSE
"negative regulation of transferase activity","MMEA9_C1",0,1,3.7e-24,-1,0.5071,11,FALSE
"autophagy of mitochondrion","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of amide metabolic process","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"chromatin remodeling","MMEA9_C1",0,1,3.7e-24,-1,0.4749,11,FALSE
"viral process","MMEA9_C1",0,1,3.7e-24,-1,0.4544,11,FALSE
"macromolecule deacylation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"mitotic cytokinesis","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"aromatic compound catabolic process","MMEA9_C1",0,1,3.7e-24,-1,0.448,11,FALSE
"vesicle localization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"establishment or maintenance of cell polarity","MMEA9_C1",0,1,3.7e-24,-1,0.5097,11,FALSE
"Wnt signaling pathway","MMEA9_C1",1,1,3.7e-24,0,1,747,FALSE
"cell-cell signaling by wnt","MMEA9_C1",1,1,3.7e-24,0,1,747,FALSE
"ATP metabolic process","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular response to chemical stress","MMEA9_C1",1,1,3.7e-24,0,1,747,FALSE
"regulation of vacuole organization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular response to external stimulus","MMEA9_C1",0,1,3.7e-24,-1,0.5025,11,FALSE
"negative regulation of protein phosphorylation","MMEA9_C1",0,1,3.7e-24,-1,0.4474,11,FALSE
"negative regulation of catabolic process","MMEA9_C1",0,1,3.7e-24,-1,0.4949,11,FALSE
"regulation of microtubule cytoskeleton organization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"chromosome localization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"negative regulation of mitotic nuclear division","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of actin filament organization","MMEA9_C1",0,1,3.7e-24,-1,0.4814,11,FALSE
"dephosphorylation","MMEA9_C1",0,1,3.7e-24,-1,0.4745,11,FALSE
"glycosylation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of establishment of protein localization","MMEA9_C1",0,1,3.7e-24,-1,0.51,11,FALSE
"regulation of microtubule-based process","MMEA9_C1",1,0,3.7e-24,1,0.4048,11,FALSE
"cell-substrate junction organization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"protein-containing complex localization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"mitochondrial transmembrane transport","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"stem cell population maintenance","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"ribosome assembly","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"intraciliary transport","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"Golgi to plasma membrane protein transport","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"response to amino acid starvation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular response to extracellular stimulus","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"cell growth","MMEA9_C1",0,1,3.7e-24,-1,0.4152,11,FALSE
"protein glycosylation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"macromolecule glycosylation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"maintenance of cell number","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"response to reactive oxygen species","MMEA9_C1",1,0,3.7e-24,1,0.4058,11,FALSE
"regulation of cell morphogenesis","MMEA9_C1",0,1,3.7e-24,-1,0.4826,11,FALSE
"regulation of cellular component size","MMEA9_C1",0,1,3.7e-24,-1,0.4339,11,FALSE
"cell-substrate junction assembly","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"membrane fission","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"membrane docking","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"fibroblast migration","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"nucleus organization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of cell growth","MMEA9_C1",0,1,3.7e-24,-1,0.4183,11,FALSE
"fibroblast proliferation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"cell cycle G1/S phase transition","MMEA9_C1",0,1,3.7e-24,-1,0.5176,11,FALSE
"actin filament organization","MMEA9_C1",1,1,3.7e-24,0,1,747,FALSE
"response to oxygen levels","MMEA9_C1",1,1,3.7e-24,0,1,747,FALSE
"epigenetic regulation of gene expression","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"organelle fusion","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"lipoprotein metabolic process","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"protein lipidation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of plasma membrane bounded cell projection assembly","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of actin filament-based process","MMEA9_C1",0,1,3.7e-24,-1,0.426,11,FALSE
"regulation of GTPase activity","MMEA9_C1",0,1,3.7e-24,-1,0.439,11,FALSE
"nuclear envelope organization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"protein autophosphorylation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"connective tissue development","MMEA9_C1",0,1,3.7e-24,-1,0.4705,11,FALSE
"cellular response to heat","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"myeloid cell homeostasis","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of neuron projection development","MMEA9_C1",0,1,3.7e-24,-1,0.4233,11,FALSE
"receptor metabolic process","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"maintenance of protein location in cell","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"apoptotic mitochondrial changes","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"response to transforming growth factor beta","MMEA9_C1",0,1,3.7e-24,-1,0.4543,11,FALSE
"neural tube development","MMEA9_C1",1,0,3.7e-24,1,0.4073,11,FALSE
"maintenance of protein location","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of ubiquitin-protein transferase activity","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"cilium assembly","MMEA9_C1",0,1,3.7e-24,-1,0.5023,11,FALSE
"mRNA export from nucleus","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of cell-substrate junction organization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"membrane biogenesis","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"cilium organization","MMEA9_C1",0,1,3.7e-24,-1,0.4849,11,FALSE
"platelet-derived growth factor receptor signaling pathway","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"iron-sulfur cluster assembly","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"metallo-sulfur cluster assembly","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"centromere complex assembly","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular response to oxygen levels","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"fatty acid beta-oxidation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"organelle localization by membrane tethering","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"autophagosome maturation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular response to transforming growth factor beta stimulus","MMEA9_C1",0,1,3.7e-24,-1,0.459,11,FALSE
"nucleotide catabolic process","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"tube closure","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of stem cell differentiation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"substrate adhesion-dependent cell spreading","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"chondrocyte differentiation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of fibroblast proliferation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"morphogenesis of an epithelial sheet","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"microtubule polymerization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"response to virus","MMEA9_C1",1,1,3.7e-24,0,1,747,FALSE
"membrane assembly","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"COPII vesicle coating","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"erythrocyte differentiation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"organophosphate catabolic process","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of embryonic development","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of focal adhesion assembly","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of cell-substrate junction assembly","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of extracellular matrix organization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"GPI anchor biosynthetic process","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"lamellipodium organization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of stem cell population maintenance","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"monosaccharide metabolic process","MMEA9_C1",1,0,3.7e-24,1,0.4261,11,FALSE
"U2-type prespliceosome assembly","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"heterochromatin formation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"peroxisome organization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of mitochondrial fission","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular pigmentation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of fibroblast migration","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular carbohydrate metabolic process","MMEA9_C1",1,1,3.7e-24,0,1,747,FALSE
"positive regulation of axonogenesis","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"kinetochore organization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"stem cell differentiation","MMEA9_C1",0,1,3.7e-24,-1,0.5042,11,FALSE
"proton transmembrane transport","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular response to insulin stimulus","MMEA9_C1",1,0,3.7e-24,1,0.4303,11,FALSE
"establishment of mitotic spindle localization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"cell redox homeostasis","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"stress granule assembly","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"protein neddylation","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of mitochondrial membrane potential","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"neuron death","MMEA9_C1",0,1,3.7e-24,-1,0.4879,11,FALSE
"defense response to virus","MMEA9_C1",1,0,3.7e-24,1,0.4395,11,FALSE
"sulfur compound metabolic process","MMEA9_C1",0,1,3.7e-24,-1,0.5196,11,FALSE
"NADP metabolic process","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"vacuolar acidification","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"oligosaccharide-lipid intermediate biosynthetic process","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"lysosomal lumen acidification","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"glycosyl compound biosynthetic process","MMEA9_C1",1,0,3.7e-24,1,0.0577,11,FALSE
"heart valve development","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"water-soluble vitamin metabolic process","MMEA9_C1",1,0,3.7e-24,1,0.131,11,FALSE
"interferon-beta production","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of interferon-beta production","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"branched-chain amino acid metabolic process","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of mitochondrial membrane permeability","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"respiratory tube development","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular senescence","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of neurogenesis","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"mitochondrial outer membrane permeabilization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"immune system development","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"clathrin-dependent endocytosis","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of viral process","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"bone development","MMEA9_C1",0,1,3.7e-24,-1,0.5336,11,FALSE
"cell-substrate adhesion","MMEA9_C1",0,1,3.7e-24,-1,0.4152,11,FALSE
"positive regulation of microtubule polymerization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"pteridine-containing compound metabolic process","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"response to arsenic-containing substance","MMEA9_C1",1,0,3.7e-24,1,0.0972,11,FALSE
"response to insulin","MMEA9_C1",1,1,3.7e-24,0,1,747,FALSE
"ubiquinone metabolic process","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular response to arsenic-containing substance","MMEA9_C1",1,0,3.7e-24,1,0.0504,11,FALSE
"inositol phosphate catabolic process","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"telomerase RNA localization to Cajal body","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"respiratory system development","MMEA9_C1",0,1,3.7e-24,-1,0.5224,11,FALSE
"regulation of generation of precursor metabolites and energy","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"mitochondrial calcium ion homeostasis","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"G0 to G1 transition","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"mitochondrial genome maintenance","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"release of cytochrome c from mitochondria","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"cortical cytoskeleton organization","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"response to sterol depletion","MMEA9_C1",1,0,3.7e-24,1,0.0573,11,FALSE
"regulation of ncRNA transcription","MMEA9_C1",0,0,3.7e-24,0,1,747,FALSE
"mesenchymal cell differentiation","MMEA9_C1",0,1,3.7e-24,-1,0.4829,11,FALSE
