"region","control","enu","group_diff","group","p_value","significant_p_adjusted","significant_p_adjusted_both_groups","GO.ID","p_value.adjust"
"positive regulation of cell projection organization",-0.777777777777778,-0.555555555555556,0.222222222222222,"downsampled",0.446627896034455,NA,NA,"GO:0031346",0.751908759411973
"positive regulation of epithelial cell migration",0.656321177289836,0.222222222222222,-0.434098955067613,"downsampled",0.20605740550707,NA,NA,"GO:0010634",0.668597242556415
"positive regulation of establishment of protein localization",0.0188805557158133,-0.111111111111111,-0.129991666826924,"downsampled",0.792064338499913,NA,NA,"GO:1904951",0.913695359369282
"positive regulation of growth",0.352213889049147,0.574436111271369,0.222222222222222,"downsampled",0.5588759739504,NA,NA,"GO:0045927",0.797739851254194
"positive regulation of kinase activity",0.0435908247531951,-0.601670833253204,-0.6452616580064,"downsampled",0.131271153383389,NA,NA,"GO:0033674",0.668597242556415
"positive regulation of mitochondrial fission",0,0,0,"downsampled",NA,NA,NA,"GO:0090141",NA
"positive regulation of mitotic cell cycle",0.111111111111111,0,-0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0045931",0.668597242556415
"positive regulation of neuron migration",0,0,0,"downsampled",NA,NA,NA,"GO:2001224",NA
"positive regulation of protein autophosphorylation",0.222222222222222,0,-0.222222222222222,"downsampled",0.16902020301917,NA,NA,"GO:0031954",0.668597242556415
"positive regulation of protein localization",-0.425563888728632,-0.232567711599054,0.192996177129578,"downsampled",0.605627353780846,NA,NA,"GO:1903829",0.820096867531917
"positive regulation of viral process",0.111111111111111,0.111111111111111,0,"downsampled",1,NA,NA,"GO:0048524",1
"postsynapse organization",0.111111111111111,0,-0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0099173",0.668597242556415
"presynaptic endocytosis",0.176106944524573,0,-0.176106944524573,"downsampled",0.346593507087334,NA,NA,"GO:0140238",0.668597242556415
"proteasome-mediated ubiquitin-dependent protein catabolic process",-0.888888888888889,-0.379448611030982,0.509440277857907,"downsampled",0.135210434114164,NA,NA,"GO:0043161",0.668597242556415
"protein folding",0,0.369103121654151,0.369103121654151,"downsampled",0.205495867791499,NA,NA,"GO:0006457",0.668597242556415
"protein glycosylation",0.222222222222222,0.398329166746796,0.176106944524573,"downsampled",0.572291632421487,NA,NA,"GO:0006486",0.797739851254194
"protein localization to nucleus",0.111111111111111,0.555555555555556,0.444444444444444,"downsampled",0.315046034415812,NA,NA,"GO:0034504",0.668597242556415
"protein localization to plasma membrane",-0.268337499919872,0.555555555555556,0.823893055475427,"downsampled",0.0177004611878766,"*",NA,"GO:0072659",0.668597242556415
